group,category,temperature_K,strain,energy_per_atom,mean_normal_stress,num_atoms
Vacancy,Vacancy,300.0,,-4.690436986666667,-6.324524783333334,63.0
Vacancy,Vacancy,300.0,,-4.706461072857143,-25.784418799999997,63.0
Vacancy,Vacancy,300.0,,-4.779049768730158,15.559854276666668,63.0
Vacancy,Vacancy,300.0,,-4.668139493015873,14.884312803333335,63.0
Vacancy,Vacancy,300.0,,-4.719794746507937,15.52531060666667,63.0
Vacancy,Vacancy,300.0,,-4.653322347301587,-20.302048946666666,63.0
Vacancy,Vacancy,300.0,,-4.722248064920635,-5.379745396666667,63.0
Vacancy,Vacancy,300.0,,-4.6815174003174596,9.031460716666666,63.0
Vacancy,Vacancy,300.0,,-4.687441041428571,11.063802336666669,63.0
Vacancy,Vacancy,300.0,,-4.680629473968255,19.125791156666665,63.0
Vacancy,Vacancy,300.0,,-4.690250483968255,-6.80849843,63.0
Vacancy,Vacancy,300.0,,-4.6736118300000005,-38.88578003999999,63.0
Vacancy,Vacancy,300.0,,-4.686466485873016,-15.470067573333333,63.0
Vacancy,Vacancy,300.0,,-4.720171171904762,32.196453170000005,63.0
Vacancy,Vacancy,300.0,,-4.675440428888889,15.325389483333334,63.0
Vacancy,Vacancy,300.0,,-4.676038816825397,-14.93186575,63.0
Vacancy,Vacancy,300.0,,-4.689226971428572,-30.249107503333335,63.0
Vacancy,Vacancy,300.0,,-4.712738472539683,-17.014943406666664,63.0
Vacancy,Vacancy,300.0,,-4.7272865444444445,-7.074742270000001,63.0
Vacancy,Vacancy,300.0,,-4.66406331936508,2.7157070799999996,63.0
Vacancy,Vacancy,300.0,,-4.696432332539683,17.130891833333333,63.0
Vacancy,Vacancy,300.0,,-4.7188825393650795,-20.77310259,63.0
Vacancy,Vacancy,300.0,,-4.668786374444444,-10.830141936666669,63.0
Vacancy,Vacancy,300.0,,-4.711521247301587,9.95161274,63.0
Vacancy,Vacancy,300.0,,-4.6976520965079365,20.022534366666665,63.0
Vacancy,Vacancy,300.0,,-4.719270009206349,-9.924796546666666,63.0
Vacancy,Vacancy,300.0,,-4.676122310793651,-16.90917889,63.0
Vacancy,Vacancy,300.0,,-5.313887494444444,-13.930258760000001,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.31932025079365,-10.177625996666666,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.322662885873016,-5.1749356,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.329718748571429,-4.64026221,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.313720312698413,-11.34842853,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.323249901111112,-11.852484556666667,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.320047603174603,-6.018498423333334,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.321541827619048,-3.918128186666666,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.314642441746032,-7.055279003333335,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.310385750634921,-6.640514006666667,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.32161923015873,-4.1416323,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.318219499365079,-2.5421256333333333,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.314784082857143,2.56097359,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.31447198920635,-5.561330456666667,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.312884858888888,-10.689353843333334,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.321276803492064,-1.91489663,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.314956954444444,-4.128992476666666,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.319842125396825,-11.064191556666666,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.32087130031746,3.7152536700000005,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.31916185047619,-5.9295148200000005,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.323951552063492,-8.643215033333334,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.312243688730159,-0.04498493000000018,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.309345473968254,0.035055916666666555,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.324251826507936,-0.6427782333333333,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.315869876349207,-7.817899256666666,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.312725276031746,-9.097427843333334,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.321590707936507,-10.411159796666666,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.30720724952381,-6.946468233333334,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.32215609111111,0.6100460499999999,63.0
Vacancy,High Temp Vacancy,3374.0,,-5.317937261111111,-14.123805446666665,63.0
Surface,Surface,,,-5.161469928333333,-0.6212861166666667,24.0
Surface,Surface,,,-5.127946596111111,-11.17251912666667,36.0
Surface,Surface,,,-5.249289047083333,-4.328232173333334,24.0
Surface,Surface,,,-5.181352014,-9.58141409,40.0
Surface,Surface,,,-5.275544067708333,-3.6968767566666663,96.0
Surface,Surface,,,-5.169641102777778,-6.209526726666666,36.0
Surface,Surface,,,-5.176681990625,-1.10342938,16.0
Surface,Surface,,,-5.125648963125,-3.5178367499999994,16.0
Surface,Surface,,,-5.2215247625000005,3.7613793833333333,12.0
Surface,Surface,,,-5.110598631666667,-4.9563429,24.0
Surface,Surface,,,-5.163473023888889,-9.599590413333333,18.0
Surface,Surface,,,-5.11500435,-14.906527406666667,20.0
AIMD-NVT,Other,843.0,,-5.3210571521875,2.18083598,64.0
AIMD-NVT,Other,843.0,,-5.32566237234375,4.129495143333333,64.0
AIMD-NVT,Other,843.0,,-5.3121393621875,4.304268503333334,64.0
AIMD-NVT,Other,843.0,,-5.31923696640625,3.356668773333334,64.0
AIMD-NVT,Other,843.0,,-5.32653959890625,2.7466814366666665,64.0
AIMD-NVT,Other,843.0,,-5.2934738628125,4.40873873,64.0
AIMD-NVT,Other,843.0,,-5.29807812265625,1.51190054,64.0
AIMD-NVT,Other,843.0,,-5.30940199828125,1.3920299966666667,64.0
AIMD-NVT,Other,843.0,,-5.3252851828125,3.72627477,64.0
AIMD-NVT,Other,843.0,,-5.3153369965625,3.34157104,64.0
AIMD-NVT,Other,843.0,,-5.3169092715625,2.8697973299999995,64.0
AIMD-NVT,Other,843.0,,-5.31148769703125,4.604260816666667,64.0
AIMD-NVT,Other,843.0,,-5.30941456171875,4.0001003299999995,64.0
AIMD-NVT,Other,843.0,,-5.297791483125,0.5293641800000001,64.0
AIMD-NVT,Other,843.0,,-5.326443203125,4.411787919999999,64.0
AIMD-NVT,Other,843.0,,-5.3194511684375,4.10522783,64.0
AIMD-NVT,Other,843.0,,-5.3073067296875,5.113246023333333,64.0
AIMD-NVT,Other,843.0,,-5.31046047125,2.0760168033333333,64.0
AIMD-NVT,Other,1518.0,,-5.23995308515625,9.041820233333334,64.0
AIMD-NVT,Other,1518.0,,-5.20458769265625,9.495041726666667,64.0
AIMD-NVT,Other,1518.0,,-5.2204868521875,4.544453693333334,64.0
AIMD-NVT,Other,1518.0,,-5.19600351546875,3.1749466366666668,64.0
AIMD-NVT,Other,1518.0,,-5.19962268703125,-2.1159491933333334,64.0
AIMD-NVT,Other,1518.0,,-5.192910200625,0.07438941000000021,64.0
AIMD-NVT,Other,1518.0,,-5.204218101875,8.915695473333335,64.0
AIMD-NVT,Other,1518.0,,-5.16968991078125,3.39924216,64.0
AIMD-NVT,Other,1518.0,,-5.21884071375,4.677336606666667,64.0
AIMD-NVT,Other,1518.0,,-5.17159236625,10.299064933333334,64.0
AIMD-NVT,Other,1518.0,,-5.260768150625,4.558101163333334,64.0
AIMD-NVT,Other,1518.0,,-5.2089811996875,10.782475176666667,64.0
